rice_network_30: 0:14:49.294666  f1_train: 0.9889920203467834  f1_test: 0.9899767174836918  f1_validation: 0.9916972510704414 
rice_network_18-15: 0:22:50.353398  f1_train: 0.9894490280396322  f1_test: 0.9910867032566621  f1_validation: 0.9894792917600824 
rice_network_16-13-10: 0:30:13.903836  f1_train: 0.35388168413572574  f1_test: 0.3567216981132076  f1_validation: 0.35105244381020334 
anuran_family_network_30: 0:06:14.212816  f1_train: 0.9905196905948461  f1_test: 0.9661293896544084  f1_validation: 0.9534997077021178 
anuran_family_network_18-15: 0:09:29.789648  f1_train: 0.9746518303283206  f1_test: 0.9722578088502358  f1_validation: 0.9696562797655695 
anuran_family_network_16-13-10: 0:15:39.280379  f1_train: 0.9940632072368591  f1_test: 0.9707120708889238  f1_validation: 0.9414436491540928 
anuran_genus_network_30: 0:04:33.894031  f1_train: 0.9780186819116534  f1_test: 0.942311202921726  f1_validation: 0.9307920039052128 
anuran_genus_network_18-15: 0:06:53.078982  f1_train: 0.5624136634561103  f1_test: 0.523312597842421  f1_validation: 0.5296156336518356 
anuran_genus_network_16-13-10: 0:09:51.856416  f1_train: 0.02540639255459185  f1_test: 0.012971236714441819  f1_validation: 0.019388836413200265 
